dataset,model,profile,runtime,onnx_variant,accuracy,reference_pt_accuracy,accuracy_gap_vs_pt,class_index_source,parity_status
dagm,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.06813186813186813,,,,review
dagm,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.06703296703296703,,,,review
dagm,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.056043956043956046,,,,review
ksdd,resnet50,EDGE_CPU_1T,onnx,fp32,0.9130434782608695,,,,review
ksdd,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.8695652173913043,,,,review
ksdd,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,0.9855072463768116,,,,review
ksdd,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.8260869565217391,,,,review
ksdd,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.8405797101449275,,,,review
ksdd,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.7246376811594203,,,,review
neu,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,1.0,1.0,0.0,train_imagefolder_sorted,ok
neu,efficientnet_b0_pruned,EDGE_CPU_1T,onnx,fp32,0.6666666666666666,0.6666666666666666,0.0,train_imagefolder_sorted,ok
neu,mobilenet_v3_large,EDGE_CPU_1T,onnx,fp32,0.9888888888888889,0.9888888888888889,0.0,train_imagefolder_sorted,ok
neu,mobilenet_v3_large_pruned,EDGE_CPU_1T,onnx,fp32,0.25555555555555554,0.25555555555555554,0.0,train_imagefolder_sorted,ok
dagm,resnet50,EDGE_CPU_1T,onnx,fp32,0.9428571428571428,0.9428571428571428,0.0,train_imagefolder_sorted,ok
neu,resnet50,EDGE_CPU_1T,onnx,fp32,0.9888888888888889,0.9888888888888889,0.0,train_imagefolder_sorted,ok
neu,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.3333333333333333,0.3333333333333333,0.0,train_imagefolder_sorted,ok
dagm,resnet50_pruned,EDGE_CPU_1T,onnx,fp32,0.37032967032967035,0.37032967032967035,0.0,train_imagefolder_sorted,ok
dagm,efficientnet_b0,EDGE_CPU_1T,onnx,fp32,0.9428571428571428,0.9428571428571428,0.0,train_imagefolder_sorted,ok
