table,metric_a,metric_b,pearson_r
classification,accuracy,accuracy,1.0
classification,accuracy,latency_ms,0.06900174840923524
classification,accuracy,fps,-0.3765374920397719
classification,accuracy,energy_proxy_wh_per_1000,0.04452721669177971
classification,accuracy,accuracy_gap_vs_pt,
classification,latency_ms,accuracy,0.06900174840923524
classification,latency_ms,latency_ms,1.0
classification,latency_ms,fps,-0.6509516135723635
classification,latency_ms,energy_proxy_wh_per_1000,0.98059953660334
classification,latency_ms,accuracy_gap_vs_pt,
classification,fps,accuracy,-0.3765374920397719
classification,fps,latency_ms,-0.6509516135723635
classification,fps,fps,1.0
classification,fps,energy_proxy_wh_per_1000,-0.5556827555532587
classification,fps,accuracy_gap_vs_pt,
classification,energy_proxy_wh_per_1000,accuracy,0.04452721669177971
classification,energy_proxy_wh_per_1000,latency_ms,0.98059953660334
classification,energy_proxy_wh_per_1000,fps,-0.5556827555532587
classification,energy_proxy_wh_per_1000,energy_proxy_wh_per_1000,1.0
classification,energy_proxy_wh_per_1000,accuracy_gap_vs_pt,
classification,accuracy_gap_vs_pt,accuracy,
classification,accuracy_gap_vs_pt,latency_ms,
classification,accuracy_gap_vs_pt,fps,
classification,accuracy_gap_vs_pt,energy_proxy_wh_per_1000,
classification,accuracy_gap_vs_pt,accuracy_gap_vs_pt,
detection,map50_plot,map50_plot,1.0
detection,map50_plot,latency_ms,0.10929561459680373
detection,map50_plot,fps,-0.13316868878775556
detection,map50_plot,energy_proxy_wh_per_1000,0.08387616723437047
detection,latency_ms,map50_plot,0.10929561459680373
detection,latency_ms,latency_ms,1.0
detection,latency_ms,fps,-0.9859600098967422
detection,latency_ms,energy_proxy_wh_per_1000,0.9967476439124144
detection,fps,map50_plot,-0.13316868878775556
detection,fps,latency_ms,-0.9859600098967422
detection,fps,fps,1.0
detection,fps,energy_proxy_wh_per_1000,-0.9730660705380043
detection,energy_proxy_wh_per_1000,map50_plot,0.08387616723437047
detection,energy_proxy_wh_per_1000,latency_ms,0.9967476439124144
detection,energy_proxy_wh_per_1000,fps,-0.9730660705380043
detection,energy_proxy_wh_per_1000,energy_proxy_wh_per_1000,1.0
